slug,name,publisher,url,region,tier,evidenceKind,lineage,editions,canonicalUrl,scaleNotes,notes
france-old-debroussaillement,Débroussaillement — Le Guide Complet : conseils et règlementation,Prévention Incendies de Forêt / Entente Valabre,https://www.prevention-incendie-foret.com/connaitre-les-regles/debroussaillement,Mediterranean France,2,regulatory,valette-1990,web page 2025-06-20,https://fireapproved.com/plants/source/france-old-debroussaillement/,The page gives structural legal-clearing guidance rather than a national species scale. One non-statutory plant-level warning says that conifer hedges of the cypress type are the most combustible; that warning maps to avoid at genus rank and remains conditioned on hedge form and accumulated dead/resinous material.,Only the explicit Cupressus genus warning was admitted. No national French recommended or prohibited species list was inferred. The page was published 2016-12-13 and reports modification on 2025-06-20 in its embedded metadata. HTML capture SHA-256: 2d445bbee3ab32bd8b66a5213bf24425e29b729ca6969d750f627d971f44f2a2.
fremont-county-wy-firewise-list,Fremont County Firewise Plant List,Fremont County Firewise,http://www.fremontcountyfirewise.com/WyomingFirewisePlantList.htm,"Fremont County, Wyoming",2,compiled,unknown,web page (server last-modified 2011-02-25) 2011-02-25,https://fireapproved.com/plants/source/fremont-county-wy-firewise-list/,"The page presents every row in its Ground Covers, Shrubs, and Large Shrubs and Trees sections as a Firewise plant. Listed taxa map to recommend. The page provides no comparative classes or adverse list.","The page describes Firewise plants as generally low-growing, low-debris, and relatively moist, but gives no methodology or source attribution. It remains Tier 2 with unknown lineage. Thirteen explicitly genus-level entries remain genus records; common names were not widened to inferred species. Obvious typographical errors in scientific names were reconciled only to exact GBIF matches and the printed spellings remain in verdictRaw. Raw HTML SHA-256: 895416d7024cfbcb4f5f475d1b8f3b81a0a3999b249dfd3152a75e2bd1f30a88. The normalized 37,305-byte research capture is SHA-256 ce5c3830b3b29f26dc8d5ed231e3c0a29cd1abfa202ccc4b13de7b167561a273; it is a research receipt, not republished source content."
ganteaume-2013-provence-ornamental-hedges,Flammability of some ornamental species in wildland-urban interfaces in southeastern France,"Environmental Management (Ganteaume, Jappiot, Lampin, Guijarro, Hernando)",https://hal.archives-ouvertes.fr/hal-00941751/document,"Provence, southeastern France",1,lab-tested,inia-madrid-tree,2013 2013-06-14,https://fireapproved.com/plants/source/ganteaume-2013-provence-ornamental-hedges/,"The hierarchical analysis assigns poorly flammable, not very flammable, moderately flammable, highly flammable, and extremely flammable clusters. Verdict map: poorly/not very = recommend; moderately = mixed; highly/extremely = avoid. For Cupressus sempervirens the row follows the paper's overall conclusion: live leaves were not very flammable, but its accumulated dead leaves were extremely flammable and the authors say the species should be avoided near houses.","Public author-produced full text is archived by HAL. Six exact species are represented; Phyllostachys sp. is excluded because the paper identifies it only to genus. Guijarro and Hernando overlap the INIA Madrid fire-lab papers, so this source conservatively shares the inia-madrid-tree vote. It uses Valette's published epiradiator protocol and scale, but has different authors and a new ornamental dataset, so protocol reuse alone does not merge it with Valette 1990."
gencat-franges-perimetrals,Les franges perimetrals de protecció contra els incendis forestals,Diputació de Barcelona and CREAF,https://www.diba.cat/documents/d/incendis/diba_franges_web,"Catalonia, Spain",2,regulatory,gencat-decret-123-2005,2025 web edition 2025,https://fireapproved.com/plants/source/gencat-franges-perimetrals/,The page 4 species-selection panel instructs managers to maintain first the less-flammable species and to remove first the more-flammable species. The former maps to recommend and the latter to avoid. Structural clearance rules elsewhere in the guide are not converted into additional taxon verdicts.,"Eighteen exact taxon labels are admitted from the printed panel: 14 maintain/less-flammable rows and four remove/more-flammable rows. Quercus, Tamarix, Pinus, Cupressus, Cistus, and Erica remain genus-rank because the panel prints sp. rather than a species. Pistacia terebintus is retained in verdictRaw while its transparent spelling correction resolves to Pistacia terebinthus. PDF SHA-256: f4736d80e7ce42858483ce9a4332877d71ec57df93229c94b0c685c54da13d41."
girona-pirojardineria-2020,Guía de pirojardinería — guía práctica de jardinería adaptada a la prevención de incendios forestales,Diputació de Girona and Bombers de la Generalitat de Catalunya,https://interior.gencat.cat/web/.content/home/030_arees_dactuacio/bombers/foc_forestal/publicacions_tecniques_i_normativa/guies_tecniques/prevencio_i_extincio/2020_Guia_de_pirojardineria_es.pdf,"Catalonia, Spain",1,expert-curated,elvira-hernando-1989 + cooperem-tree,Spanish edition 2020,https://fireapproved.com/plants/source/girona-pirojardineria-2020/,"The 289 species fiches use five printed suitability verdicts: muy recomendada, recomendada, desaconsejada, muy desaconsejada, and prohibida. The guide's qualitative balance integrates fire-resistance literature, expert fire-service experience, fuel structure, maintenance, origin, and invasiveness. Prohibida is a regulatory invasive- species outcome and is retained as not-rated rather than converted into a flammability avoid verdict.","The source says recommended plants may be used inside or outside the 25-metre maximum- risk zone, discouraged plants are not suitable inside it, and very discouraged plants should not be planted in either zone. All suitability judgments assume species-specific garden care and maintenance. Archived PDF SHA-256: 49ad413b9a3252de86bc4ae0c951a5be3567842f926ead07cb907d0a58493539."
gonzalez-2022-laguna-blanca-wui,Fire hazard assessment at different scales in the WUI of semiarid northern Patagonia,"Frontiers in Forests and Global Change (Gonzalez, Arias Aller & Ghermandi)",https://www.frontiersin.org/journals/forests-and-global-change/articles/10.3389/ffgc.2022.855790/pdf,"Laguna Blanca National Park, Neuquén, Argentina",1,lab-tested,gonzalez-ghermandi-tree,2022 2022-09-13,https://fireapproved.com/plants/source/gonzalez-2022-laguna-blanca-wui/,The abstract and Discussion explicitly name the most-flammable species after considering leaf and plant variables. Verdict map: author-named most-flammable taxa measured in this paper = avoid; all other taxa measured in this paper = mixed. No low direction is inferred from a single favorable component.,Complete CC-BY full text is openly published by Frontiers. Eight exact taxa were newly sampled; Mulinum spinosum is excluded because this article imports its data from Blackhall and Raffaele 2019. Three of the newly measured taxa belong to the paper's four-member most-flammable group. This is a new Gonzalez/Ghermandi Laguna Blanca dataset; citation or import of one Blackhall result does not merge the eight new measurements with the earlier paper.
grants-pass,Fire-Resistant vs. Highly Flammable Plants,City of Grants Pass,https://www.grantspassoregon.gov/289/Fire-Resistant-vs-Highly-Flammable-Plant,OR,2,compiled,pnw590-tree,,https://fireapproved.com/plants/source/grants-pass/,Two lists — fire-resistant and highly flammable (avoid).,Municipal compilation in the PNW 590 orbit. Its highly-flammable naming is useful avoid-list corroboration.
greece-property-fire-regulation-2023,Κανονισμός Πυροπροστασίας Ακινήτων εντός ή πλησίον δασικών εκτάσεων,Hellenic Ministry of Environment and Energy,https://www.elinyae.gr/ethniki-nomothesia/ya-oik-ypendaoka5590420192023-fek-3475b-2452023,Greece,2,regulatory,greece-property-fire-regulation-2023,FEK B 3475/2023 2023-05-24,https://fireapproved.com/plants/source/greece-property-fire-regulation-2023/,"Section 5.4.2 prints a 31-row table of particularly flammable endemic trees and shrubs, mapped to avoid. The immediately following paragraph contrasts these with passive fire-resistant plants and names 18 unique plant groups. Sixteen map to recommend at genus rank; the repeated maple mention casts one row, while Rosaceae, Myoporum, and loquat are held.","Latin labels in the high-flammability table retain species, variety, or printed genus rank. The contrasting Greek common/group names are mapped only to unambiguous, clean genus owners, never guessed to species. Myoporum and loquat are held because their genus keys currently collide with legacy species-shaped placeholders. Abies borisii regis is transparently corrected to the hyphenated exact name for GBIF matching. HTML SHA-256: 850357695d5a646fd8596072d66e64207ddaf6af51ae0f479da74f8049abd416. Embedded table image hashes: 0cad88706539b71ae95193be34d5b246dde2476537f86b5269b0e5a2ffc02b53 and 6e0b70c5ffded4f4d44a5adfdfc5641ff7681eceaed717feaba8cebef303047c."
guerrero-2020-valparaiso-thermo,Thermo- and physicochemical properties of native and exotic forest species of Valparaíso,International Journal of Wildland Fire (Guerrero et al.; UTFSM),https://www.researchgate.net/publication/340890318_Thermo-_and_physicochemical_properties_of_native_and_exotic_forest_species_of_Valparaiso_Chile_as_essential_information_for_fire_risk_management,"Peñuelas Lake National Reserve, Valparaíso, Chile",1,lab-tested,guerrero-utfsm-tree,2020 2020-04-24,https://fireapproved.com/plants/source/guerrero-2020-valparaiso-thermo/,The paper applies a five-class higher-heating-value risk scale. Verdict map: classes 1-2 = recommend; class 3 = mixed; classes 4-5 = avoid. Flash point is retained in claims with the authors' low-precision warning.,"Public author-uploaded full text was verified. All five exact taxa and their applied HHV classes are represented. This paper and the 2021 epiradiator companion share Guerrero, UTFSM, the Peñuelas site, and the species panel, so both are one guerrero-utfsm-tree vote."
gva-valencia,Jardinería de baja inflamabilidad para las zonas de interfaz urbano-forestal,Generalitat Valenciana,https://www.leliana.es/sites/www.leliana.es/files/files/Jardineria%20de%20baja%20inflamabilidad.pdf,"Valencia, Spain / western Mediterranean",1,expert-curated,gva-valencia,2019 2019,https://fireapproved.com/plants/source/gva-valencia/,"A recommended-species table for wildland-urban-interface gardens (92 entries across hedges, climbers, trees, shrubs, and beds, in native and garden columns) plus a flammable-species warning naming pines, heaths, cypresses, esparto, and rosemary. Verdict map: recommended = recommend, named-flammable = avoid. Thymus vulgaris appears on both sides and is recorded as mixed with the tension preserved.","The corpus's first Spanish-language source under the all-English extraction policy (English claims, Spanish claimOriginal). Its rosemary condemnation corroborates the INRA laboratory notes; its cypress caution is about dry-material accumulation, echoing the CypFire condition-not-species finding already documented in the source survey."
harrison-2002-rangelands-kochia-fires,Forage Kochia Helps Fight Range Fires,Society for Range Management (Rangelands),https://extension.usu.edu/preparedness/files/wildfire/rangelands.pdf,Great Basin / Intermountain West,1,expert-curated,greenstrip-tree,Rangelands 24(5) 2002-10,https://fireapproved.com/plants/source/harrison-2002-rangelands-kochia-fires/,Table 1 contains 11 rows for species frequently used in greenstrips; its dual-species crested-wheatgrass row yields 12 taxon identities. Listed = recommend only within the recorded semiarid greenstrip placement. Eleven identities fit the current schema; the western-yarrow subspecies is held out because subspecies rank is unavailable.,"Tier 1 expert synthesis based on reviewed reports, field observations, and telephone interviews. The source explicitly says published peer-reviewed fire-suppression findings were unavailable and asks for more quantitative research. Its controlled-burn and wildfire figures are specific to forage kochia; companion Table 1 species are not recast as individually tested. Same greenstrip-tree lineage as the underlying BLM, USFS, UNR, and NRCS work."
henaoui-cistus-tlemcen,The fire risk of the plant groupings with Cistus in the area of Tlemcen (Western Algeria),European Scientific Journal,https://eujournal.org/index.php/esj/article/view/1917,"Tlemcen, western Algeria",1,lab-tested,valette-1990,European Scientific Journal 9(29) 2013-10-30,https://fireapproved.com/plants/source/henaoui-cistus-tlemcen/,"Table 1 classifies fresh-material ignition delay as note 3 / high flammability at 65 seconds or less, note 2 / moderate above 65 and below 130 seconds, and note 1 / low at 130 seconds or more.",The authors tested three fresh 10 g samples for each of 38 species with an infrared burner at 850 °C during April-May 2013. The separate narrative aside naming four non-flammable plants is not ingested because those taxa are absent from the stated 38-species experimental set and Table 1. PDF SHA-256: 46e84be9b030919986dfdb50b531d167f2658590e66d932b7f2a63ba736ff264.
idaho-firewise-master-db,Fire Resistance of Plants Master Database,Idaho Firewise (BLM + College of Western Idaho + Idaho Botanical Garden),https://idahofirewise.org/wp-content/uploads/2017/04/FireXResistanceXofXPlantsXMasterXDatabase.pdf,southern Idaho / Intermountain,1,field-trial,idaho-tree,Southern Idaho master database (PDF created 2013-11-08) 2013-11-08,https://fireapproved.com/plants/source/idaho-firewise-master-db/,"0-10 fire-resistance score mapped by the source to minimum planting distance (10 = acceptable at 10 ft ... 1 = keep 100+ ft away). Verdict thresholds follow CSU's published usage of this scale: 8-10 recommend, 4-7 mixed, 0-3 avoid.","The largest scored US dataset (400+ species and cultivars). Cooperative scoring program; its methodology was adopted by CSU/CSFS in 2025. The current official Idaho Firewise download matched the reviewed 1,607,748-byte input on 2026-08-26; SHA-256: da9a483ed2d1bd998e489caee694dde85f21d92bc8af3855e3bf2c5c022522e4."
indiana-312-iac-18-3-25-2020,Indiana 312 IAC 18-3-25 Prohibited Invasive Terrestrial Plants,Indiana Department of Natural Resources,https://iar.iga.in.gov/code/2026/312/18#312-18-3-25,Indiana,,regulatory-list,indiana-312-iac-18-3-25,,https://fireapproved.com/plants/source/indiana-312-iac-18-3-25-2020/,"The current rule designates 44 prohibited invasive terrestrial plants. It applies to any part or life stage and prohibits sale, offering or growing for sale, gifting, bartering, exchange, distribution, transport, transfer, and introduction. The rule became effective April 18, 2019; its trade and transport restrictions became fully enforceable April 18, 2020. Possession by a person holding a State Entomologist permit and participation in a State Entomologist-approved destruction project are separate person-level exceptions; the rule does not state a general prohibition on bare possession.","The NRC January 2019 minutes authenticate final adoption and the correction of row 29 to Lonicera maackii. The NRC 2025 Readopted Final Rule readopts 312 IAC 18-3 and supplies currentness. The Indiana government guidebook supplies a complete pre-errata subsection (a)-(e) cross-pin; its page is explicitly labeled proposed, so it is supplemental. The current DNR page and 9/2024 brochure are separately counted supplemental displays, and their printed botanical variants remain attached to the enacted rows. The current IAR legal home is retained on every assertion. Indiana noxious weeds, aquatic plants, ginseng, kudzu, marijuana, hemp, multiflora rose, and purple loosestrife remain outside this source pack."
isees-2021-judean-hills,"השרפה בהרי יהודה – 2021: ניתוח, תובנות והמלצות",Ecology and Environment / ISEES,https://magazine.isees.org.il/?p=38821,Israel,2,expert-curated,isees-judean-hills-2021-analysis,Ecology and Environment 12(4) 2022-02-01,https://fireapproved.com/plants/source/isees-2021-judean-hills/,"The recommendations call for reducing pine presence in forest fire-buffer strips and interrupting dense pine continuity, mapped to avoid at Pinus genus rank with its placement condition. Five exact species are offered as less-flammable alternatives to pines in public-use forest areas, mapped to recommend.",Six exact GBIF owners are admitted: one Pinus genus row and five species rows. The article's printed Ceratonia silique typo is preserved in verdictRaw and transparently corrected to Ceratonia siliqua for matching. HTML SHA-256: 8889e4f94d0840487a691bfdf02504248a5bf9e665d2f1bc322612f96885f8f9; generated article PDF SHA-256: 2eafce61408b2ced7baa158ff7e78dcdc6dc1e88da9c01672c4e905a9dea184c.
jaureguiberry-2011-device-34spp,Device for the standard measurement of shoot flammability in the field,Austral Ecology / IMBIV-CONICET and Universidad Nacional de Córdoba,https://doi.org/10.1111/j.1442-9993.2010.02222.x,"Western Chaco, Córdoba Province, Argentina",1,lab-tested,jaureguiberry-device-tree,"Austral Ecology 36(7), pages 821-829 2011-01-05",https://fireapproved.com/plants/source/jaureguiberry-2011-device-34spp/,"Appendix S5 publishes continuous means for MT, BL, BT, BR, BB interval, and the authors' compound FL index for 34 samples. FL runs from 0 toward roughly 3, but the paper defines no directional taxon classes or cutoffs. All rows are retained as not-rated measurements.",Six fresh field samples per taxon were preheated for two minutes at 150 °C and ignited for 10 seconds. Thirty-four sample rows resolve to 33 exact GBIF identities because Celtis ehrenbergiana was deliberately measured as both tree and shrub morphotypes. The Appendix S2 spelling Pappophorum explicitly corrects S5's Papophorum typo.
king-county-puget-sound-2011,Firewise Plants for the Puget Sound Basin,King County Forestry Program,https://your.kingcounty.gov/dnrp/library/water-and-land/forestry/forestfire/FirewisePlantsPugetSoundBasin-2011.pdf,western WA,1,expert-curated,king-county-2011,2011 2011,https://fireapproved.com/plants/source/king-county-puget-sound-2011/,"Binary recommendation by presence in the source's Trees, Shrubs, Perennials, or Groundcovers tables under the heading Fire-resistant Landscape Plants.",Native-first King County curation for the Puget Sound Basin. Its only named resources are the Washington Native Plant Society and Pojar & MacKinnon's Plants of the Pacific Northwest Coast; it does not cite PNW 590.
kkl-2024-fire-prevention-compendium,מסמך מאגד הנחיות למניעת שרפות ולשיקום יער לאחר שרפות,KKL-JNF Afforestation Division,https://www.kkl.org.il/files/afforestation-and-environment/21032024_doc.pdf,Israel,2,regulatory,kkl-fire-authority-buffer-guidance,March 2024 2024-03,https://fireapproved.com/plants/source/kkl-2024-fire-prevention-compendium/,"The guide repeatedly prioritizes cypress trees over conifers when selecting retained trees in settlement and forest fire-buffer strips. This operational genus-level preference maps to recommend. Broad structural prescriptions and unnamed woodland, broadleaf, conifer, and vegetation classes are not mapped.","One exact Cupressus genus row is admitted from pages 4, 6, and 7. The guide contains no species table or named cypress species, so the evidence stays at genus rank. PDF SHA-256: 6115cbf79c7b18dc0201f80c8d9df79d0879cb61a277aec1173de2322bf40c0e."
kovalsyki-2016-pfb-cortinas,Flammability of tree species for use in fuelbreaks in forest-fire prevention,"Pesquisa Florestal Brasileira (Kovalsyki, Takashina, Tres, Tetto & Batista; UFPR)",https://pfb.sede.embrapa.br/pfb/article/download/991/531,"Curitiba, Paraná, Brazil",1,lab-tested,ufpr-cortinas-tree,2016 2016-12-30,https://fireapproved.com/plants/source/kovalsyki-2016-pfb-cortinas/,Table 4 reports Valette's 0-5 flammability value (VI) separately from the combustion-intensity index (IC). Verdicts use VI only: 0-1 (non/poorly flammable) = recommend; 2-3 (moderately flammable/flammable) = mixed; 4-5 (highly/extremely flammable) = avoid. IC is retained only as a measurement.,"Complete Portuguese full text, English abstract, and species Tables 3-4 are openly published by Embrapa. Four candidate species and the Pinus taeda control are represented. Batista, Tetto, Kovalsyki, and Tres overlap the 2013 UFPR experiment, so the papers share one ufpr-cortinas-tree vote. The registry's earlier summary confused combustion intensity with flammability; Table 4 is the controlling result."
la-arboretum-fire-retardant-hillside-1970,Fire-Retardant Plants for Brush Fire Prevention in Hillside Residential Areas,Los Angeles State & County Arboretum,https://arboretum.org/issue/lasca-leaves-september-1970/,Southern California,1,field-trial,la-arboretum-tree,"LASCA Leaves, September 1970 1970-09",https://fireapproved.com/plants/source/la-arboretum-fire-retardant-hillside-1970/,"Table 1 recommends 30 low-growing shrubs and herbaceous perennials in four fire-retardance categories based on leaf moisture capacity: Category 1, greatest (90-95%); Category 2, high (80-95%); Category 3, medium-high (70-80%); and Category 4, least among the recommended set (60-70%).",The Arboretum's official archive links to the Missouri Botanical Garden scan of LASCA Leaves. The authors condition the recommendations on watering through the dry season and maintenance that removes accumulated litter. Internet Archive item mobot31753002430269; capture SHA-256: 8621cb11620bc2ad508532319b9cc009ae57ad8909f4de6ab74e71e3874d7c35.
long-2006-srs,Quantifying and ranking the flammability of ornamental shrubs in the southern United States,"USDA Forest Service Southern Research Station + NIST (Long, Behm, Zipperer, Hermansen, Maranghides, Mell)",https://www.srs.fs.usda.gov/pubs/ja/ja_long004.pdf,southeastern US,1,lab-tested,ufifas-srs-tree,2006 2006,https://fireapproved.com/plants/source/long-2006-srs/,"Whole-plant burns with large-scale calorimetry at NIST BFRL; cluster analysis produced 22 low / 8 moderate / 4 high flammability among 34 ornamental shrubs. Verdict map: low = recommend, moderate = mixed, high = avoid.","The most direct US lab ranking of ornamental shrubs; the evidence base behind UF/IFAS FOR272. Cite as ""burns conducted at NIST BFRL"" — no standalone NIST report exists."
lsu-hammond,Firewise Landscaping (Hammond Research Station),"LSU AgCenter (Bracy, Owings, Orr, Chen)",https://www.lsuagcenter.com/portals/our_offices/research_stations/hammond/features/research-updates/firewise-landscaping,Louisiana,,compiled,unknown,c. 2005-2010,https://fireapproved.com/plants/source/lsu-hammond/,"A prose list of 31 ornamentals ""recommended for firewise landscaping"" in Louisiana, mostly at genus level. Verdict map: listed = recommend. Tier is deliberately omitted — no methodology is cited, so rows are corroboration only and can never move a rating on their own.","Louisiana's only named-species list. Same structural treatment as the NC Plant Toolbox: an undocumented assignment corroborates but does not promote. The live official HTML exactly matched the reviewed 106,080-byte input on 2026-08-26; SHA-256: d4a9cbbab990f696dbf55244704ff88355937e85f05ada4f03157a74f9589409."
lubin-shelly-1997-ucfpl-compilation,Defensible Space Landscaping in the Urban/Wildland Interface: A Compilation of Fire Performance Ratings of Residential Landscape Plants,University of California Forest Products Laboratory,https://www.firesafemonterey.org/uploads/1/0/6/5/10653434/uc_forestproductslabdefensiblespaceplantlist_ocr.pdf,California,2,compiled,ucfpl-berkeley,Internal Report 36.01.137 1997-07,https://fireapproved.com/plants/source/lubin-shelly-1997-ucfpl-compilation/,"The report compiles more than 25 earlier lists. Chapter 2 requires at least three favorable references, Chapter 3 requires at least three unfavorable references, and Chapter 4 identifies conflicting source recommendations. These map to recommend, avoid, and mixed. The report says the underlying lists often lack scientific basis and use undefined terms.","Tier 2 compilation and the citation root behind several later California list wrappers. The recovered report is the evidence source. A preserved UCFPL column in the 2024 Living With Fire workbook is used only as a transcription aid for the report's F/U/C marker and reference count; it is not treated as another evidence lineage. Conservative exact reconciliation yields 130 evidence owners (83 favorable, 31 conflicting, 16 unfavorable), with 31 compound or non-exact taxonomy rows held."
lucas-2019-biobr-ornamentais,Flammability of urban ornamental species for use in green firebreaks,"Biodiversidade Brasileira (Lucas, Kovalsyki, Jacobs, Tetto & Batista; UFPR)",https://revistaeletronica.icmbio.gov.br/BioBR/article/download/1029/803,"Curitiba, Paraná, Brazil",1,lab-tested,ufpr-cortinas-tree,2019 Portuguese original 2019-05-15; 2020 English translation 2020-07-27,https://fireapproved.com/plants/source/lucas-2019-biobr-ornamentais/,"Both taxa are explicitly classified weakly flammable based on ignition frequency and time, despite high combustion intensity. Verdict map: author-classified weakly flammable = recommend. Component measurements and the high-intensity caveat are retained in each evidence row.","The complete one-page Portuguese conference paper is openly published and contains species-level methods and results. The 2020 English item repeats the same authors, taxa, sample counts, and values and is an edition/translation, not an independent source. Shared UFPR authors and epiradiator program place both rows in the existing ufpr-cortinas-tree."
lwf-plant-list-generator,Living With Fire Plant List Generator (2024-03-05 workbook),"Living With Fire (Charisse Sydoriak, compiler; Ashland OR)",https://living-with-fire.org/home/plant-list-generator-main/,western US (global sources),2,compiled,meta-aggregator,2024-03-05 2024-03-05,https://fireapproved.com/plants/source/lwf-plant-list-generator/,"Aggregator with per-species attribution to original sources; used as a carrier (via) for rows whose originals are registered, never as its own verdict.","1,342-plant workbook recovered 2026-08-23 after the site's own download link died. Preserves per-species citations to the dead Fire Performance Plant Selector (231 rows) and the Idaho Master Database (377 rows). Audited 2026-08-25 as a carrier only: 47 missing root-source rows were recovered on 47 owners (29 existing and 18 new), while 184 candidate channels already had direct primary evidence and were not duplicated. The audit ledger records 93 attribution-only markers and every taxonomy, exact-match, value, or form hold."
macalister-2025-sajb-cape-town,Time to extinguish the exotic flame: Lessons from the 2021 Cape Town fire,South African Journal of Botany / University of Cape Town,https://www.sciencedirect.com/science/article/pii/S0254629925004168,"Cape Town, Western Cape, South Africa",1,lab-tested,independent (UCT post-Table-Mountain-fire study),South African Journal of Botany 184:1163-1173 2025-09-30,https://fireapproved.com/plants/source/macalister-2025-sajb-cape-town/,Forty-two taxa were assessed for fresh- and dry-leaf ignitibility and sustainability plus combustibility. Twenty leaves were collected from each of five biological replicates per taxon; ten leaves were used for fresh tests and ten for dry tests after trait measurement.,"Laboratory means were recomputed from the official UCT raw-data workbook. Published Table 1 supplies identities and 2021 burn observations where the deposited workbook uses shorthand or contains typographical discrepancies. Native/exotic group differences are not converted into species verdicts. The abstract and methods state 22 native and 20 exotic taxa, while the published Table 1 labels and deposited workbook count 23 native and 19 exotic; the row-level labels are preserved without resolving that conflict. Phoenix canariensis and Pinus pinea receive avoid evidence only because the authors explicitly describe the former as a great danger during fire events and the latter as a wildfire hazard. Workbook SHA-256: 7f9ed8308007a35e522937252ed8fd84995b4c36ad2bfbe0d0604086aed3f46a."
madrigal-2013-bench-scale-live-fuels,A new bench-scale methodology for evaluating the flammability of live forest fuels,SAGE / Journal of Fire Sciences (INIA-CIFOR Forest Fire Laboratory),https://journals.sagepub.com/doi/10.1177/0734904112458244,Central Spain,1,lab-tested,inia-madrid-tree,Online first 2012-09-12; Journal of Fire Sciences 31(2) 2013-03,https://fireapproved.com/plants/source/madrigal-2013-bench-scale-live-fuels/,"Table 1 reports five continuous variables for four live-fuel taxa at similar moisture content and 50 kW/m²: TTI, PHRR, AEHC, MLR, and THR. The authors publish no overall taxon class or composite rank. Rows are therefore direct laboratory evidence with verdict not-rated; all five means and repeatability standard deviations remain in claims.","Tier 1 bench-scale study from the INIA-CIFOR laboratory. Component directions conflict, so deriving a recommend/avoid verdict would invent a weighting rule. Pinus pinaster uses live needles; the understory shrubs use leaves and fine twigs under 1 cm. Same inia-madrid-tree lineage as the earlier Spanish laboratory program."
maine-chapter-273-invasive-plants-2022-092,Maine Chapter 273 Do Not Sell and Special Concern Lists,"Maine Department of Agriculture, Conservation and Forestry",https://www.maine.gov/DACF/php/horticulture/invasiveplants.shtml,Maine,,regulatory-list,maine-chapter-273,,https://fireapproved.com/plants/source/maine-chapter-273-invasive-plants-2022-092/,Chapter 273 prohibits specified trade and propagation activities for 63 Do Not Sell species and separately allows Rosa rugosa sales only with required disclosure and purchaser guidance. The 29-row Watch List is retained as context only because Chapter 273 explicitly leaves those plants unrestricted.,"The rule defines species broadly to include synonyms and subordinate taxa, but FireApproved does not project a species result onto cultivar or hybrid pages. Chapter 273 also provides a committee exemption path for researched subordinate taxa; no current approved-exemption roster was located. The upstream pages state no reusable license, so source identity and scope are retained while FireApproved publishes only its derived structured data under CC BY 4.0."
maire-1962-landscape-to-prevent-fire,Landscape for Fire Protection,University of California Agricultural Extension Service,https://babel.hathitrust.org/cgi/pt?id=umn.31951d02962519x,California,1,expert-curated,la-arboretum-tree,AXT-254 1968,https://fireapproved.com/plants/source/maire-1962-landscape-to-prevent-fire/,"The Plants for Fire Protection section gives a single conditioned recommendation set, organized as ground covers, shrubs, and trees. It describes these as examples for irrigated hillsides and repeatedly conditions performance on pruning, watering, and removing litter.","This 1968 AXT-254 edition replaces the physical-only 1962 AXT-64 Landscape to Prevent Fire. HathiTrust permits page-at-a-time viewing but instructed against saving or redistributing the scan; the repository therefore stores retrieval metadata rather than scan bytes. Four headings remain held because they identify a cultivar/form, a broad iceplant group, or an OCR spelling that does not exact-match GBIF."
massachusetts-prohibited-plant-list-2026-05,Massachusetts Prohibited Plant List,Massachusetts Department of Agricultural Resources,https://www.mass.gov/info-details/massachusetts-prohibited-plant-list,Massachusetts,,regulatory-list,massachusetts-prohibited-plant-list,,https://fireapproved.com/plants/source/massachusetts-prohibited-plant-list-2026-05/,"The official page prohibits listed plants statewide and says the scope includes cultivars, varieties, and hybrids. Six newly listed taxa currently have staged existing-stock sales deadlines; no new stock may be imported or propagated. Orchard, bonsai-grower, and permit provisions are modeled as operational conditions, separately from the list's taxonomic scope.","The upstream pages state no reusable license. FireApproved retains exact source identity, scope, dates, and operating conditions while publishing its derived structured data under CC BY 4.0. A legal-list result is separate from an ecological invasive assessment and from fire performance. The live page's displayed February 27 update date is stale relative to its linked May 2026 CSV and May 11 additions; the pinned CSV identity controls this source version."
mdfs-firewise-landscaping-plants,"Firewise Landscaping Plants (Maryland, New Jersey, and West Virginia editions)","Maryland DNR, New Jersey DEP, and West Virginia Division of Forestry",https://web.archive.org/web/20250408035155/https://dnr.maryland.gov/forests/documents/fire/firewise_plants.pdf,"Maryland, New Jersey, and West Virginia",2,compiled,md-nj-wv-template-family,Maryland archived PDF 2015-01-08; New Jersey official edition; West Virginia official edition,https://fireapproved.com/plants/source/mdfs-firewise-landscaping-plants/,One affirmative list: every plant table row is described as relatively resistant to fire and as exhibiting stronger resistance to ignition by wildfires. The source publishes no comparative rating scale or row-level method.,"Maryland is the canonical normalized master of the Maryland/New Jersey/West Virginia template family; the official state editions do not add independent votes. All three preserve the same 180 printed taxon occurrences, including West Virginia and New Jersey copies of the Maryland-specific Rudbeckia hirta comment. All rows are preserved in an extracted ledger. One exact botanical-form row is held because the plant schema cannot represent FORM rank; broadening it to the species would be dishonest. Mulch ignitability is outside the plant-evidence scope. The current Maryland official download matched the reviewed 60,120-byte input on 2026-08-26. PDF SHA-256: b349c0d9e454c1d5fa802f359b523a1f7b5f4da1da83a6b0274caff54234da14."
